Title,Ignored,Claimed,AppId,BundleId,Price,Description,StorePageUrl,Comments
Dead Space,,,17470,,,,,
Dead Space™ 2,,,47780,,,,,
Deadly Sin 2,,,,,,,,
Dear Esther,,,,,,,,
Death Ray Manta,,,,,,,,
Death Squared,,,,,,,,
Death Stranding,,,,,,,,
Deathloop,,,,,,,,
Deponia Doomsday,,,,,,,,
Deponia Doomsday,,,,,,,,
Deponia Doomsday Soundtrack,,,558150,,,,,
Deponia: The Complete Journey,,,,,,,,
Detached: Non-VR Edition,,,,,,,,
Detective Case and Clown Bot in: Murder in The Hotel Lisbon,,,,,,,,
Deus Ex: Mankind Divided,,,337000,,,,,
DIRT 5,,,,,,,,
DiRT Rally,,,,,,,,
Distance,,,,,,,,
Do Not Feed the Monkeys,,,,,,,,
Doom Eternal,,,,,,,,
Double Fine Adventure Documentary,,,402590,,3.99,,,No longer listed for sale. Price from SteamDB.
Doughlings Arcade,,,,,,,,
Doughlings Invasion,,,,,,,,
Dracula: Love Kills,,,,,,,,
Dracula: Origin,,,,,,,,
Dragon's Dogma: Dark Arisen,,,,,,,,
Dungeon Defenders + All DLC,,,,15481,,,,
Dungeon Defenders + All DLC,,,,15481,,,,
Dungeon of the Endless - Crystal Pack,,,268080,,2.19,,,"No price listed on Steam, but also not free? Tentatively priced to match the other DLC."
Dungeons 3,,,,,,,,
Duskers,,,,,,,,
Dust: An Elysian Tail,,,,,,,,
Dusty Revenge: Co-Op Edition,,,,,,,,
Dwarfs!?,,,,,,,,
Dynamite Jack,,,,,,,,
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,,,,,,,,
EARTH DEFENSE FORCE 4.1: Blood Storm,,,464201,,,,,
EARTH DEFENSE FORCE 4.1: BM03 Vegalta Gold,,,464204,,,,,
EARTH DEFENSE FORCE 4.1: Depth Crawler Gold Coat,,,473445,,,,,
EARTH DEFENSE FORCE 4.1: Gigantus DCC-Gogo. Marking,,,473447,,,,,
EARTH DEFENSE FORCE 4.1: Gigantus DCC-Zero Marking,,,473446,,,,,
"EARTH DEFENSE FORCE 4.1: Gigantus Tank, Bullet Girls Marking",,,464205,,,,,
"EARTH DEFENSE FORCE 4.1: Gigantus Tank, EDF IFPS Markings",,,464206,,,,,
"EARTH DEFENSE FORCE 4.1: Gigantus Tank, Natsuiro HS Markings",,,464220,,,,,
EARTH DEFENSE FORCE 4.1: Gleipnir,,,464202,,,,,
EARTH DEFENSE FORCE 4.1: Ifrit,,,464200,,,,,
EARTH DEFENSE FORCE 4.1: Mission Pack 1: Time of the Mutants,,,410780,,,,,
EARTH DEFENSE FORCE 4.1: Mission Pack 2: Extreme Battle,,,411380,,,,,
EARTH DEFENSE FORCE 4.1: Pure Decoy Launcher 5 Pack A,,,473443,,,,,
EARTH DEFENSE FORCE 4.1: Pure Decoy Launcher 5 Pack B,,,473444,,,,,
EARTH DEFENSE FORCE 4.1: Reflectron Laser,,,473440,,,,,
EARTH DEFENSE FORCE 4.1: Spark Lancer,,,464203,,,,,
EARTH DEFENSE FORCE 4.1: Sting Shot,,,473441,,,,,
EARTH DEFENSE FORCE 4.1: Volatile Napalm,,,473442,,,,,
EarthNight,,,,,,,,
Eastside Hockey Manager,,,,,,,,
Eets Munchies,,,,,,,,
Eldritch,,,,,,,,
Ellipsis,,,,,,,,
Endless Space® - Collection,,,208140,,,,,
English Country Tune,,,,,,,,
Eon Altar Episode 1,,,382050,,,,,
Epistory - Typing Chronicles,,,,,,,,
Eterium,,,280200,,4.99,,,No longer listed for sale. Price from SteamDB.
Eufloria,,,,,,,,
Euro Truck Simulator,,,,,,,,
Euro Truck Simulator 2,,,,,,,,
Euro Truck Simulator 2,,,,,,,,
Event[0],,,,,,,,
Faerie Solitaire,,,38600,,,,,
FEZ,,,,,,,,
Fez,,,,,,,,
Fidel - Dungeon Rescue,,TRUE,,,,,,
"Fieldrunners, BIT.TRIP BEAT, SpaceChem, and Uplink",,,,,34.96,"Includes <a href=""https://store.steampowered.com/app/209690"">Fieldrunners</a>, <a href=""https://store.steampowered.com/app/63700"">BIT.TRIP BEAT</a>, <a href=""https://store.steampowered.com/app/92800"">SpaceChem</a>, and <a href=""https://store.steampowered.com/app/1510"">Uplink</a>.",,"Combined price: Fieldrunners ($4.99), BIT.TRIP BEAT ($9.99), SpaceChem ($9.99), and Uplink ($9.99)."
Fight'N Rage,,,,,,,,
Figment,,,,,,,,
Finding Paradise,,,,,,,,
Firegirl,,,,,,,,
Fish Fillets 2,,,,,,,,
Fluffy Horde,,,,,,,,
Flynn: Son of Crimson,,,,,,,,
Football Manager 2020,,,1100600,,4.99,,,No longer listed for sale; replaced by a newer version.
Forged Battalion,,,,,,,,
Forts,,,,,,,,
Fractal,,,566180,,,,,
Fran Bow,,,,,,,,
"Frick, Inc.",,,,,,,,
FTL,,,,,,,,
FTL: Faster Than Light,,,,,,,,
Full Metal Furies,,,,,,,,
Galactic Civilizations® III,,,,,,,,
Galak-Z,,,,,,,,
Game Character Hub,,,,,,,,
Game Guru,,,266310,,,,,
Game Guru: Buildings Pack,,,365520,,,,,
Game Guru: Death Valley Pack,,,365540,,,,,
